sample,total_count,population,count,percentage
sample01669,92666,nk_cell,11806,12.74
sample01670,97428,b_cell,10241,10.51
sample01670,97428,cd4_t_cell,28351,29.1
sample01670,97428,cd8_t_cell,29968,30.76
sample01670,97428,monocyte,21084,21.64
sample01670,97428,nk_cell,7784,7.99
sample01671,104687,b_cell,8663,8.28
sample01671,104687,cd4_t_cell,32850,31.38
sample01671,104687,cd8_t_cell,27187,25.97
sample01671,104687,monocyte,17738,16.94
sample01671,104687,nk_cell,18249,17.43
sample01672,103308,b_cell,13128,12.71
sample01672,103308,cd4_t_cell,36904,35.72
sample01672,103308,cd8_t_cell,21010,20.34
sample01672,103308,monocyte,19236,18.62
sample01672,103308,nk_cell,13030,12.61
sample01673,92678,b_cell,8006,8.64
sample01673,92678,cd4_t_cell,27752,29.94
sample01673,92678,cd8_t_cell,19665,21.22
sample01673,92678,monocyte,19407,20.94
sample01673,92678,nk_cell,17848,19.26
sample01674,89661,b_cell,6752,7.53
sample01674,89661,cd4_t_cell,20884,23.29
sample01674,89661,cd8_t_cell,23271,25.95
sample01674,89661,monocyte,17829,19.88
sample01674,89661,nk_cell,20925,23.34
sample01675,91225,b_cell,9628,10.55
sample01675,91225,cd4_t_cell,28495,31.24
sample01675,91225,cd8_t_cell,25262,27.69
sample01675,91225,monocyte,15641,17.15
sample01675,91225,nk_cell,12199,13.37
sample01676,103515,b_cell,7187,6.94
sample01676,103515,cd4_t_cell,28230,27.27
sample01676,103515,cd8_t_cell,35447,34.24
sample01676,103515,monocyte,15084,14.57
sample01676,103515,nk_cell,17567,16.97
sample01677,94857,b_cell,5472,5.77
sample01677,94857,cd4_t_cell,29178,30.76
sample01677,94857,cd8_t_cell,37666,39.71
sample01677,94857,monocyte,12063,12.72
sample01677,94857,nk_cell,10478,11.05
sample01678,110078,b_cell,18528,16.83
sample01678,110078,cd4_t_cell,19131,17.38
sample01678,110078,cd8_t_cell,31980,29.05
sample01678,110078,monocyte,22223,20.19
sample01678,110078,nk_cell,18216,16.55
sample01679,100275,b_cell,8289,8.27
sample01679,100275,cd4_t_cell,31806,31.72
sample01679,100275,cd8_t_cell,34884,34.79
sample01679,100275,monocyte,14856,14.82
sample01679,100275,nk_cell,10440,10.41
sample01680,107626,b_cell,14007,13.01
sample01680,107626,cd4_t_cell,28157,26.16
sample01680,107626,cd8_t_cell,24818,23.06
sample01680,107626,monocyte,24618,22.87
sample01680,107626,nk_cell,16026,14.89
sample01681,107066,b_cell,8324,7.77
sample01681,107066,cd4_t_cell,35472,33.13
sample01681,107066,cd8_t_cell,30603,28.58
sample01681,107066,monocyte,19130,17.87
sample01681,107066,nk_cell,13537,12.64
sample01682,96735,b_cell,11007,11.38
sample01682,96735,cd4_t_cell,25949,26.82
sample01682,96735,cd8_t_cell,31434,32.49
sample01682,96735,monocyte,15195,15.71
sample01682,96735,nk_cell,13150,13.59
sample01683,98395,b_cell,8952,9.1
sample01683,98395,cd4_t_cell,19749,20.07
sample01683,98395,cd8_t_cell,35096,35.67
sample01683,98395,monocyte,21447,21.8
sample01683,98395,nk_cell,13151,13.37
sample01684,114684,b_cell,12720,11.09
sample01684,114684,cd4_t_cell,34058,29.7
sample01684,114684,cd8_t_cell,29657,25.86
sample01684,114684,monocyte,21104,18.4
sample01684,114684,nk_cell,17145,14.95
sample01685,93146,b_cell,12696,13.63
sample01685,93146,cd4_t_cell,26194,28.12
sample01685,93146,cd8_t_cell,23526,25.26
sample01685,93146,monocyte,16509,17.72
sample01685,93146,nk_cell,14221,15.27
sample01686,95142,b_cell,17894,18.81
sample01686,95142,cd4_t_cell,33603,35.32
sample01686,95142,cd8_t_cell,14840,15.6
sample01686,95142,monocyte,14863,15.62
sample01686,95142,nk_cell,13942,14.65
sample01687,101578,b_cell,10123,9.97
sample01687,101578,cd4_t_cell,30363,29.89
sample01687,101578,cd8_t_cell,31266,30.78
sample01687,101578,monocyte,13898,13.68
sample01687,101578,nk_cell,15928,15.68
sample01688,101006,b_cell,12577,12.45
sample01688,101006,cd4_t_cell,26251,25.99
sample01688,101006,cd8_t_cell,19452,19.26
sample01688,101006,monocyte,17600,17.42
sample01688,101006,nk_cell,25126,24.88
sample01689,101442,b_cell,11840,11.67
sample01689,101442,cd4_t_cell,35574,35.07
sample01689,101442,cd8_t_cell,22734,22.41
sample01689,101442,monocyte,18981,18.71
sample01689,101442,nk_cell,12313,12.14
sample01690,93579,b_cell,9432,10.08
sample01690,93579,cd4_t_cell,31132,33.27
sample01690,93579,cd8_t_cell,26188,27.98
sample01690,93579,monocyte,17316,18.5
sample01690,93579,nk_cell,9511,10.16
sample01691,98235,b_cell,11339,11.54
sample01691,98235,cd4_t_cell,27149,27.64
sample01691,98235,cd8_t_cell,26256,26.73
sample01691,98235,monocyte,23637,24.06
sample01691,98235,nk_cell,9854,10.03
sample01692,92546,b_cell,9734,10.52
sample01692,92546,cd4_t_cell,29749,32.15
sample01692,92546,cd8_t_cell,24416,26.38
sample01692,92546,monocyte,17762,19.19
sample01692,92546,nk_cell,10885,11.76
sample01693,93232,b_cell,7380,7.92
sample01693,93232,cd4_t_cell,25249,27.08
sample01693,93232,cd8_t_cell,18700,20.06
sample01693,93232,monocyte,24008,25.75
sample01693,93232,nk_cell,17895,19.19
sample01694,98678,b_cell,13456,13.64
sample01694,98678,cd4_t_cell,27594,27.96
sample01694,98678,cd8_t_cell,23989,24.31
sample01694,98678,monocyte,14516,14.71
sample01694,98678,nk_cell,19123,19.38
sample01695,96303,b_cell,8713,9.05
sample01695,96303,cd4_t_cell,36353,37.75
sample01695,96303,cd8_t_cell,23008,23.89
sample01695,96303,monocyte,14631,15.19
sample01695,96303,nk_cell,13598,14.12
sample01696,94144,b_cell,15551,16.52
sample01696,94144,cd4_t_cell,21833,23.19
sample01696,94144,cd8_t_cell,25123,26.69
sample01696,94144,monocyte,20414,21.68
sample01696,94144,nk_cell,11223,11.92
sample01697,92431,b_cell,6022,6.52
sample01697,92431,cd4_t_cell,38331,41.47
sample01697,92431,cd8_t_cell,20840,22.55
sample01697,92431,monocyte,16885,18.27
sample01697,92431,nk_cell,10353,11.2
sample01698,94044,b_cell,10477,11.14
sample01698,94044,cd4_t_cell,28824,30.65
sample01698,94044,cd8_t_cell,16117,17.14
sample01698,94044,monocyte,17766,18.89
sample01698,94044,nk_cell,20860,22.18
sample01699,109070,b_cell,9352,8.57
sample01699,109070,cd4_t_cell,40883,37.48
sample01699,109070,cd8_t_cell,24350,22.33
sample01699,109070,monocyte,16653,15.27
sample01699,109070,nk_cell,17832,16.35
sample01700,98615,b_cell,5145,5.22
sample01700,98615,cd4_t_cell,27172,27.55
sample01700,98615,cd8_t_cell,22923,23.24
sample01700,98615,monocyte,32371,32.83
sample01700,98615,nk_cell,11004,11.16
sample01701,106915,b_cell,8003,7.49
sample01701,106915,cd4_t_cell,35239,32.96
sample01701,106915,cd8_t_cell,28136,26.32
sample01701,106915,monocyte,23189,21.69
sample01701,106915,nk_cell,12348,11.55
sample01702,105733,b_cell,7254,6.86
sample01702,105733,cd4_t_cell,27868,26.36
sample01702,105733,cd8_t_cell,29158,27.58
sample01702,105733,monocyte,21235,20.08
sample01702,105733,nk_cell,20218,19.12
sample01703,91828,b_cell,15884,17.3
sample01703,91828,cd4_t_cell,25493,27.76
sample01703,91828,cd8_t_cell,18409,20.05
sample01703,91828,monocyte,18525,20.17
sample01703,91828,nk_cell,13517,14.72
sample01704,99320,b_cell,5487,5.52
sample01704,99320,cd4_t_cell,30134,30.34
sample01704,99320,cd8_t_cell,19309,19.44
sample01704,99320,monocyte,24259,24.43
sample01704,99320,nk_cell,20131,20.27
sample01705,97433,b_cell,8927,9.16
sample01705,97433,cd4_t_cell,27961,28.7
sample01705,97433,cd8_t_cell,26241,26.93
sample01705,97433,monocyte,19701,20.22
sample01705,97433,nk_cell,14603,14.99
sample01706,109440,b_cell,12028,10.99
sample01706,109440,cd4_t_cell,38576,35.25
sample01706,109440,cd8_t_cell,22853,20.88
sample01706,109440,monocyte,21846,19.96
sample01706,109440,nk_cell,14137,12.92
sample01707,91398,b_cell,8448,9.24
sample01707,91398,cd4_t_cell,25942,28.38
sample01707,91398,cd8_t_cell,22648,24.78
sample01707,91398,monocyte,17354,18.99
sample01707,91398,nk_cell,17006,18.61
sample01708,89651,b_cell,4876,5.44
sample01708,89651,cd4_t_cell,32317,36.05
sample01708,89651,cd8_t_cell,18941,21.13
sample01708,89651,monocyte,20165,22.49
sample01708,89651,nk_cell,13352,14.89
sample01709,89991,b_cell,8450,9.39
sample01709,89991,cd4_t_cell,23231,25.81
sample01709,89991,cd8_t_cell,27790,30.88
sample01709,89991,monocyte,19253,21.39
sample01709,89991,nk_cell,11267,12.52
sample01710,105837,b_cell,20182,19.07
sample01710,105837,cd4_t_cell,26629,25.16
sample01710,105837,cd8_t_cell,33587,31.73
sample01710,105837,monocyte,12715,12.01
sample01710,105837,nk_cell,12724,12.02
sample01711,101037,b_cell,10197,10.09
sample01711,101037,cd4_t_cell,25850,25.58
sample01711,101037,cd8_t_cell,18572,18.38
sample01711,101037,monocyte,21764,21.54
sample01711,101037,nk_cell,24654,24.4
sample01712,105389,b_cell,12085,11.47
sample01712,105389,cd4_t_cell,42004,39.86
sample01712,105389,cd8_t_cell,20993,19.92
sample01712,105389,monocyte,12777,12.12
sample01712,105389,nk_cell,17530,16.63
sample01713,96101,b_cell,6688,6.96
sample01713,96101,cd4_t_cell,30713,31.96
sample01713,96101,cd8_t_cell,24510,25.5
sample01713,96101,monocyte,24920,25.93
sample01713,96101,nk_cell,9270,9.65
sample01714,107339,b_cell,9542,8.89
sample01714,107339,cd4_t_cell,34507,32.15
sample01714,107339,cd8_t_cell,25545,23.8
sample01714,107339,monocyte,20234,18.85
sample01714,107339,nk_cell,17511,16.31
sample01715,104787,b_cell,12573,12.0
sample01715,104787,cd4_t_cell,24947,23.81
sample01715,104787,cd8_t_cell,30972,29.56
sample01715,104787,monocyte,25064,23.92
sample01715,104787,nk_cell,11231,10.72
sample01716,95162,b_cell,12024,12.64
sample01716,95162,cd4_t_cell,27558,28.96
sample01716,95162,cd8_t_cell,25673,26.98
sample01716,95162,monocyte,16247,17.07
sample01716,95162,nk_cell,13660,14.35
sample01717,88325,b_cell,9940,11.25
sample01717,88325,cd4_t_cell,28056,31.76
sample01717,88325,cd8_t_cell,26208,29.67
sample01717,88325,monocyte,13719,15.53
sample01717,88325,nk_cell,10402,11.78
sample01718,90647,b_cell,13064,14.41
sample01718,90647,cd4_t_cell,23363,25.77
sample01718,90647,cd8_t_cell,17357,19.15
sample01718,90647,monocyte,17925,19.77
sample01718,90647,nk_cell,18938,20.89
sample01719,96224,b_cell,9357,9.72
sample01719,96224,cd4_t_cell,27132,28.2
sample01719,96224,cd8_t_cell,17303,17.98
sample01719,96224,monocyte,27872,28.97
sample01719,96224,nk_cell,14560,15.13
sample01720,92872,b_cell,5375,5.79
sample01720,92872,cd4_t_cell,37372,40.24
sample01720,92872,cd8_t_cell,17481,18.82
sample01720,92872,monocyte,16038,17.27
sample01720,92872,nk_cell,16606,17.88
sample01721,96252,b_cell,16543,17.19
sample01721,96252,cd4_t_cell,34155,35.48
sample01721,96252,cd8_t_cell,22821,23.71
sample01721,96252,monocyte,12527,13.01
sample01721,96252,nk_cell,10206,10.6
sample01722,89351,b_cell,9531,10.67
sample01722,89351,cd4_t_cell,30723,34.38
sample01722,89351,cd8_t_cell,20712,23.18
sample01722,89351,monocyte,15273,17.09
sample01722,89351,nk_cell,13112,14.67
sample01723,108032,b_cell,18810,17.41
sample01723,108032,cd4_t_cell,40052,37.07
sample01723,108032,cd8_t_cell,22771,21.08
sample01723,108032,monocyte,18169,16.82
sample01723,108032,nk_cell,8230,7.62
sample01724,95018,b_cell,6961,7.33
sample01724,95018,cd4_t_cell,32888,34.61
sample01724,95018,cd8_t_cell,31058,32.69
sample01724,95018,monocyte,14001,14.74
sample01724,95018,nk_cell,10110,10.64
sample01725,101696,b_cell,9890,9.73
sample01725,101696,cd4_t_cell,30368,29.86
sample01725,101696,cd8_t_cell,20632,20.29
sample01725,101696,monocyte,23092,22.71
sample01725,101696,nk_cell,17714,17.42
sample01726,92827,b_cell,6636,7.15
sample01726,92827,cd4_t_cell,28445,30.64
sample01726,92827,cd8_t_cell,21179,22.82
sample01726,92827,monocyte,26260,28.29
sample01726,92827,nk_cell,10307,11.1
sample01727,89621,b_cell,9613,10.73
sample01727,89621,cd4_t_cell,38855,43.35
sample01727,89621,cd8_t_cell,15879,17.72
sample01727,89621,monocyte,16877,18.83
sample01727,89621,nk_cell,8397,9.37
sample01728,111032,b_cell,5524,4.98
sample01728,111032,cd4_t_cell,42926,38.66
sample01728,111032,cd8_t_cell,20090,18.09
sample01728,111032,monocyte,21283,19.17
sample01728,111032,nk_cell,21209,19.1
sample01729,106099,b_cell,6764,6.38
sample01729,106099,cd4_t_cell,30449,28.7
sample01729,106099,cd8_t_cell,31067,29.28
sample01729,106099,monocyte,22966,21.65
sample01729,106099,nk_cell,14853,14.0
sample01730,106929,b_cell,15069,14.09
sample01730,106929,cd4_t_cell,27558,25.77
sample01730,106929,cd8_t_cell,29963,28.02
sample01730,106929,monocyte,22104,20.67
sample01730,106929,nk_cell,12235,11.44
sample01731,92980,b_cell,10120,10.88
sample01731,92980,cd4_t_cell,35671,38.36
sample01731,92980,cd8_t_cell,19020,20.46
sample01731,92980,monocyte,16809,18.08
sample01731,92980,nk_cell,11360,12.22
sample01732,103666,b_cell,9384,9.05
sample01732,103666,cd4_t_cell,30697,29.61
sample01732,103666,cd8_t_cell,21113,20.37
sample01732,103666,monocyte,21342,20.59
sample01732,103666,nk_cell,21130,20.38
sample01733,95807,b_cell,8655,9.03
sample01733,95807,cd4_t_cell,37952,39.61
sample01733,95807,cd8_t_cell,22124,23.09
sample01733,95807,monocyte,13292,13.87
sample01733,95807,nk_cell,13784,14.39
sample01734,91138,b_cell,11678,12.81
sample01734,91138,cd4_t_cell,20287,22.26
sample01734,91138,cd8_t_cell,21138,23.19
sample01734,91138,monocyte,17086,18.75
sample01734,91138,nk_cell,20949,22.99
sample01735,88899,b_cell,11948,13.44
sample01735,88899,cd4_t_cell,25059,28.19
sample01735,88899,cd8_t_cell,23780,26.75
sample01735,88899,monocyte,15925,17.91
sample01735,88899,nk_cell,12187,13.71
sample01736,92736,b_cell,8209,8.85
sample01736,92736,cd4_t_cell,25977,28.01
sample01736,92736,cd8_t_cell,25616,27.62
sample01736,92736,monocyte,18206,19.63
sample01736,92736,nk_cell,14728,15.88
sample01737,94419,b_cell,11437,12.11
sample01737,94419,cd4_t_cell,19696,20.86
sample01737,94419,cd8_t_cell,19645,20.81
sample01737,94419,monocyte,26636,28.21
sample01737,94419,nk_cell,17005,18.01
sample01738,96247,b_cell,11121,11.55
sample01738,96247,cd4_t_cell,30322,31.5
sample01738,96247,cd8_t_cell,21583,22.42
sample01738,96247,monocyte,15940,16.56
sample01738,96247,nk_cell,17281,17.95
sample01739,92020,b_cell,7323,7.96
sample01739,92020,cd4_t_cell,31300,34.01
sample01739,92020,cd8_t_cell,27244,29.61
sample01739,92020,monocyte,11652,12.66
sample01739,92020,nk_cell,14501,15.76
sample01740,105544,b_cell,8844,8.38
sample01740,105544,cd4_t_cell,31222,29.58
sample01740,105544,cd8_t_cell,23618,22.38
sample01740,105544,monocyte,21571,20.44
sample01740,105544,nk_cell,20289,19.22
sample01741,107391,b_cell,20510,19.1
sample01741,107391,cd4_t_cell,25277,23.54
sample01741,107391,cd8_t_cell,30476,28.38
sample01741,107391,monocyte,15114,14.07
sample01741,107391,nk_cell,16014,14.91
sample01742,91957,b_cell,8892,9.67
sample01742,91957,cd4_t_cell,22404,24.36
sample01742,91957,cd8_t_cell,24829,27.0
sample01742,91957,monocyte,23270,25.31
sample01742,91957,nk_cell,12562,13.66
sample01743,106107,b_cell,8555,8.06
sample01743,106107,cd4_t_cell,33740,31.8
sample01743,106107,cd8_t_cell,21680,20.43
sample01743,106107,monocyte,23047,21.72
sample01743,106107,nk_cell,19085,17.99
sample01744,90676,b_cell,6095,6.72
sample01744,90676,cd4_t_cell,26315,29.02
sample01744,90676,cd8_t_cell,21201,23.38
sample01744,90676,monocyte,16589,18.29
sample01744,90676,nk_cell,20476,22.58
sample01745,99847,b_cell,7219,7.23
sample01745,99847,cd4_t_cell,28552,28.6
sample01745,99847,cd8_t_cell,21339,21.37
sample01745,99847,monocyte,21075,21.11
sample01745,99847,nk_cell,21662,21.7
sample01746,100465,b_cell,12371,12.31
sample01746,100465,cd4_t_cell,28043,27.91
sample01746,100465,cd8_t_cell,17277,17.2
sample01746,100465,monocyte,18485,18.4
sample01746,100465,nk_cell,24289,24.18
sample01747,105164,b_cell,10852,10.32
sample01747,105164,cd4_t_cell,19467,18.51
sample01747,105164,cd8_t_cell,36936,35.12
sample01747,105164,monocyte,22714,21.6
sample01747,105164,nk_cell,15195,14.45
sample01748,96632,b_cell,9956,10.3
sample01748,96632,cd4_t_cell,27021,27.96
sample01748,96632,cd8_t_cell,17473,18.08
sample01748,96632,monocyte,25127,26.0
sample01748,96632,nk_cell,17055,17.65
sample01749,104427,b_cell,12547,12.02
sample01749,104427,cd4_t_cell,25624,24.54
sample01749,104427,cd8_t_cell,24218,23.19
sample01749,104427,monocyte,20515,19.65
sample01749,104427,nk_cell,21523,20.61
sample01750,102783,b_cell,12204,11.87
sample01750,102783,cd4_t_cell,30003,29.19
sample01750,102783,cd8_t_cell,27164,26.43
sample01750,102783,monocyte,18568,18.07
sample01750,102783,nk_cell,14844,14.44
sample01751,103777,b_cell,7022,6.77
sample01751,103777,cd4_t_cell,33566,32.34
sample01751,103777,cd8_t_cell,31033,29.9
sample01751,103777,monocyte,17849,17.2
sample01751,103777,nk_cell,14307,13.79
sample01752,98420,b_cell,9620,9.77
sample01752,98420,cd4_t_cell,29085,29.55
sample01752,98420,cd8_t_cell,31280,31.78
sample01752,98420,monocyte,18043,18.33
sample01752,98420,nk_cell,10392,10.56
sample01753,103066,b_cell,9077,8.81
sample01753,103066,cd4_t_cell,30133,29.24
sample01753,103066,cd8_t_cell,28631,27.78
sample01753,103066,monocyte,20229,19.63
sample01753,103066,nk_cell,14996,14.55
sample01754,93898,b_cell,9375,9.98
sample01754,93898,cd4_t_cell,28807,30.68
sample01754,93898,cd8_t_cell,20628,21.97
sample01754,93898,monocyte,18370,19.56
sample01754,93898,nk_cell,16718,17.8
sample01755,100250,b_cell,9443,9.42
sample01755,100250,cd4_t_cell,28707,28.64
sample01755,100250,cd8_t_cell,33387,33.3
sample01755,100250,monocyte,17893,17.85
sample01755,100250,nk_cell,10820,10.79
sample01756,112168,b_cell,10020,8.93
sample01756,112168,cd4_t_cell,33437,29.81
sample01756,112168,cd8_t_cell,29950,26.7
sample01756,112168,monocyte,20473,18.25
sample01756,112168,nk_cell,18288,16.3
sample01757,109764,b_cell,7239,6.6
sample01757,109764,cd4_t_cell,35839,32.65
sample01757,109764,cd8_t_cell,29216,26.62
sample01757,109764,monocyte,19020,17.33
sample01757,109764,nk_cell,18450,16.81
sample01758,105381,b_cell,16475,15.63
sample01758,105381,cd4_t_cell,25943,24.62
sample01758,105381,cd8_t_cell,31376,29.77
sample01758,105381,monocyte,18287,17.35
sample01758,105381,nk_cell,13300,12.62
sample01759,111937,b_cell,20957,18.72
sample01759,111937,cd4_t_cell,26957,24.08
sample01759,111937,cd8_t_cell,27612,24.67
sample01759,111937,monocyte,24389,21.79
sample01759,111937,nk_cell,12022,10.74
sample01760,96307,b_cell,13405,13.92
sample01760,96307,cd4_t_cell,29811,30.95
sample01760,96307,cd8_t_cell,22716,23.59
sample01760,96307,monocyte,21005,21.81
sample01760,96307,nk_cell,9370,9.73
sample01761,107602,b_cell,11045,10.26
sample01761,107602,cd4_t_cell,30538,28.38
sample01761,107602,cd8_t_cell,26375,24.51
sample01761,107602,monocyte,30045,27.92
sample01761,107602,nk_cell,9599,8.92
sample01762,102524,b_cell,8153,7.95
sample01762,102524,cd4_t_cell,31651,30.87
sample01762,102524,cd8_t_cell,31517,30.74
sample01762,102524,monocyte,11298,11.02
sample01762,102524,nk_cell,19905,19.41
sample01763,96323,b_cell,16018,16.63
sample01763,96323,cd4_t_cell,24903,25.85
sample01763,96323,cd8_t_cell,13958,14.49
sample01763,96323,monocyte,30804,31.98
sample01763,96323,nk_cell,10640,11.05
sample01764,98286,b_cell,14306,14.56
sample01764,98286,cd4_t_cell,23940,24.36
sample01764,98286,cd8_t_cell,33492,34.08
sample01764,98286,monocyte,12303,12.52
sample01764,98286,nk_cell,14245,14.49
sample01765,99875,b_cell,5516,5.52
sample01765,99875,cd4_t_cell,30136,30.17
sample01765,99875,cd8_t_cell,23870,23.9
sample01765,99875,monocyte,22951,22.98
sample01765,99875,nk_cell,17402,17.42
sample01766,96630,b_cell,9009,9.32
sample01766,96630,cd4_t_cell,28980,29.99
sample01766,96630,cd8_t_cell,25758,26.66
sample01766,96630,monocyte,19858,20.55
sample01766,96630,nk_cell,13025,13.48
sample01767,91733,b_cell,7984,8.7
sample01767,91733,cd4_t_cell,33664,36.7
sample01767,91733,cd8_t_cell,26694,29.1
sample01767,91733,monocyte,14351,15.64
sample01767,91733,nk_cell,9040,9.85
sample01768,101408,b_cell,10175,10.03
sample01768,101408,cd4_t_cell,31045,30.61
sample01768,101408,cd8_t_cell,20860,20.57
sample01768,101408,monocyte,23754,23.42
sample01768,101408,nk_cell,15574,15.36
sample01769,97311,b_cell,11781,12.11
sample01769,97311,cd4_t_cell,38934,40.01
sample01769,97311,cd8_t_cell,19011,19.54
sample01769,97311,monocyte,11878,12.21
sample01769,97311,nk_cell,15707,16.14
sample01770,93909,b_cell,7837,8.35
sample01770,93909,cd4_t_cell,35103,37.38
sample01770,93909,cd8_t_cell,21055,22.42
sample01770,93909,monocyte,16796,17.89
sample01770,93909,nk_cell,13118,13.97
sample01771,97854,b_cell,10259,10.48
sample01771,97854,cd4_t_cell,23558,24.07
sample01771,97854,cd8_t_cell,24735,25.28
sample01771,97854,monocyte,17741,18.13
sample01771,97854,nk_cell,21561,22.03
sample01772,99005,b_cell,8725,8.81
sample01772,99005,cd4_t_cell,33937,34.28
sample01772,99005,cd8_t_cell,21912,22.13
sample01772,99005,monocyte,23090,23.32
sample01772,99005,nk_cell,11341,11.45
sample01773,96663,b_cell,6422,6.64
sample01773,96663,cd4_t_cell,28794,29.79
sample01773,96663,cd8_t_cell,29596,30.62
sample01773,96663,monocyte,18670,19.31
sample01773,96663,nk_cell,13181,13.64
sample01774,98114,b_cell,8185,8.34
sample01774,98114,cd4_t_cell,29833,30.41
sample01774,98114,cd8_t_cell,21607,22.02
sample01774,98114,monocyte,26078,26.58
sample01774,98114,nk_cell,12411,12.65
sample01775,102060,b_cell,8439,8.27
sample01775,102060,cd4_t_cell,31317,30.68
sample01775,102060,cd8_t_cell,30067,29.46
sample01775,102060,monocyte,21341,20.91
sample01775,102060,nk_cell,10896,10.68
sample01776,105475,b_cell,11235,10.65
sample01776,105475,cd4_t_cell,34094,32.32
sample01776,105475,cd8_t_cell,26796,25.41
sample01776,105475,monocyte,18187,17.24
sample01776,105475,nk_cell,15163,14.38
sample01777,94386,b_cell,9100,9.64
sample01777,94386,cd4_t_cell,25550,27.07
sample01777,94386,cd8_t_cell,27982,29.65
sample01777,94386,monocyte,20000,21.19
sample01777,94386,nk_cell,11754,12.45
sample01778,94202,b_cell,14046,14.91
sample01778,94202,cd4_t_cell,25472,27.04
sample01778,94202,cd8_t_cell,29616,31.44
sample01778,94202,monocyte,12016,12.76
sample01778,94202,nk_cell,13052,13.86
sample01779,109276,b_cell,17755,16.25
sample01779,109276,cd4_t_cell,43717,40.01
sample01779,109276,cd8_t_cell,18054,16.52
sample01779,109276,monocyte,12399,11.35
sample01779,109276,nk_cell,17351,15.88
sample01780,101597,b_cell,11699,11.52
sample01780,101597,cd4_t_cell,26783,26.36
sample01780,101597,cd8_t_cell,33730,33.2
sample01780,101597,monocyte,21376,21.04
sample01780,101597,nk_cell,8009,7.88
sample01781,101645,b_cell,15959,15.7
sample01781,101645,cd4_t_cell,25672,25.26
sample01781,101645,cd8_t_cell,24493,24.1
sample01781,101645,monocyte,27496,27.05
sample01781,101645,nk_cell,8025,7.9
sample01782,99145,b_cell,10429,10.52
sample01782,99145,cd4_t_cell,33546,33.84
sample01782,99145,cd8_t_cell,20412,20.59
sample01782,99145,monocyte,18577,18.74
sample01782,99145,nk_cell,16181,16.32
sample01783,99940,b_cell,8839,8.84
sample01783,99940,cd4_t_cell,18453,18.46
sample01783,99940,cd8_t_cell,27040,27.06
sample01783,99940,monocyte,31710,31.73
sample01783,99940,nk_cell,13898,13.91
sample01784,102513,b_cell,9519,9.29
sample01784,102513,cd4_t_cell,38016,37.08
sample01784,102513,cd8_t_cell,26902,26.24
sample01784,102513,monocyte,18030,17.59
sample01784,102513,nk_cell,10046,9.8
sample01785,109249,b_cell,9716,8.89
sample01785,109249,cd4_t_cell,30017,27.48
sample01785,109249,cd8_t_cell,21944,20.09
sample01785,109249,monocyte,28845,26.4
sample01785,109249,nk_cell,18727,17.14
sample01786,99447,b_cell,8411,8.46
sample01786,99447,cd4_t_cell,33554,33.74
sample01786,99447,cd8_t_cell,22967,23.09
sample01786,99447,monocyte,19188,19.29
sample01786,99447,nk_cell,15327,15.41
sample01787,105827,b_cell,6297,5.95
sample01787,105827,cd4_t_cell,44996,42.52
sample01787,105827,cd8_t_cell,23671,22.37
sample01787,105827,monocyte,12498,11.81
sample01787,105827,nk_cell,18365,17.35
sample01788,94468,b_cell,11012,11.66
sample01788,94468,cd4_t_cell,20892,22.12
sample01788,94468,cd8_t_cell,19655,20.81
sample01788,94468,monocyte,28011,29.65
sample01788,94468,nk_cell,14898,15.77
sample01789,110107,b_cell,9646,8.76
sample01789,110107,cd4_t_cell,50630,45.98
sample01789,110107,cd8_t_cell,17626,16.01
sample01789,110107,monocyte,18103,16.44
sample01789,110107,nk_cell,14102,12.81
sample01790,103644,b_cell,15469,14.93
sample01790,103644,cd4_t_cell,29009,27.99
sample01790,103644,cd8_t_cell,17378,16.77
sample01790,103644,monocyte,29004,27.98
sample01790,103644,nk_cell,12784,12.33
sample01791,97124,b_cell,6057,6.24
sample01791,97124,cd4_t_cell,23705,24.41
sample01791,97124,cd8_t_cell,25401,26.15
sample01791,97124,monocyte,23262,23.95
sample01791,97124,nk_cell,18699,19.25
sample01792,103122,b_cell,10720,10.4
sample01792,103122,cd4_t_cell,31681,30.72
sample01792,103122,cd8_t_cell,19212,18.63
sample01792,103122,monocyte,31701,30.74
sample01792,103122,nk_cell,9808,9.51
sample01793,92741,b_cell,10533,11.36
sample01793,92741,cd4_t_cell,23840,25.71
sample01793,92741,cd8_t_cell,27916,30.1
sample01793,92741,monocyte,18824,20.3
sample01793,92741,nk_cell,11628,12.54
sample01794,111311,b_cell,6370,5.72
sample01794,111311,cd4_t_cell,30114,27.05
sample01794,111311,cd8_t_cell,36358,32.66
sample01794,111311,monocyte,24330,21.86
sample01794,111311,nk_cell,14139,12.7
sample01795,106158,b_cell,9483,8.93
sample01795,106158,cd4_t_cell,40400,38.06
sample01795,106158,cd8_t_cell,31344,29.53
sample01795,106158,monocyte,12250,11.54
sample01795,106158,nk_cell,12681,11.95
sample01796,95144,b_cell,18637,19.59
sample01796,95144,cd4_t_cell,24953,26.23
sample01796,95144,cd8_t_cell,16408,17.25
sample01796,95144,monocyte,23099,24.28
sample01796,95144,nk_cell,12047,12.66
sample01797,105416,b_cell,5660,5.37
sample01797,105416,cd4_t_cell,38693,36.71
sample01797,105416,cd8_t_cell,29755,28.23
sample01797,105416,monocyte,15739,14.93
sample01797,105416,nk_cell,15569,14.77
